,,
Tiempo (sem),¿Llegó a término?,Sexo
"11,0",1,Macho
"13,3",1,Macho
"22,1",1,Macho
"13,3",1,Macho
"8,7",1,Macho
"37,0",1,Macho
"37,0",0,Macho
"37,0",0,Macho
"37,0",1,Macho
"7,4",1,Macho
"9,4",1,Macho
"8,4",1,Macho
"7,4",1,Macho
"8,4",1,Macho
"15,7",0,Macho
"15,7",0,Macho
"55,6",0,Macho
"55,6",1,Macho
"31,6",1,Macho
"8,0",0,Macho
"6,9",0,Macho
"6,9",1,Macho
"32,0",1,Macho
"32,0",0,Macho
"17,7",0,Macho
"7,1",0,Macho
"7,1",0,Macho
"7,1",0,Macho
"5,3",0,Macho
"5,1",0,Macho
"5,1",0,Macho
"11,3",1,Macho
"42,9",1,Macho
"11,1",1,Macho
"13,0",1,Macho
"13,4",1,Macho
"22,4",1,Macho
"4,0",0,Macho
"4,7",0,Macho
"5,7",1,Macho
"4,6",1,Macho
"5,0",0,Macho
"5,9",1,Macho
"5,9",0,Macho
"4,7",0,Macho
"4,9",0,Macho
"36,6",0,Macho
"36,6",0,Macho
"28,6",0,Macho
"3,1",0,Macho
"3,9",0,Macho
"33,9",0,Macho
"7,9",0,Macho
"10,7",0,Macho
"6,4",1,Macho
"4,4",0,Macho
"5,7",1,Macho
"5,0",0,Macho
"17,3",0,Macho
"38,9",0,Macho
"32,3",0,Macho
"20,7",0,Macho
"28,7",0,Macho
"31,0",0,Macho
"37,9",0,Macho
"36,9",0,Macho
"36,9",0,Macho
"16,9",0,Macho
"27,7",0,Macho
"5,0",0,Macho
"5,0",0,Macho
"28,3",0,Macho
"6,3",0,Macho
"26,7",0,Macho
"30,9",0,Macho
"21,9",0,Macho
"28,9",0,Macho
"10,6",0,Macho
"10,4",0,Macho
"9,3",0,Macho
"6,9",0,Macho
"5,7",1,Macho
"1,6",0,Macho
"36,9",0,Macho
"16,0",0,Macho
"9,1",0,Macho
"9,4",0,Macho
"9,1",0,Macho
"13,3",0,Macho
"8,3",0,Macho
"9,0",0,Macho
"7,9",0,Macho
"7,9",0,Macho
"8,3",0,Macho
"3,3",0,Macho
"14,1",0,Macho
"16,0",0,Macho
"5,9",0,Macho
"2,9",0,Macho
"5,9",0,Macho
"4,9",0,Macho
"13,9",0,Macho
"6,9",0,Macho
"6,9",1,Macho
"6,9",1,Macho
"8,9",0,Macho
"9,0",0,Macho
"9,1",0,Macho
"7,6",1,Macho
"44,6",1,Hembra
"45,6",1,Hembra
"71,1",1,Hembra
"71,1",1,Hembra
"11,6",1,Hembra
"32,4",1,Hembra
"27,6",1,Hembra
"13,0",1,Hembra
"4,9",0,Hembra
"40,3",1,Hembra
"40,4",1,Hembra
"16,9",0,Hembra
"17,3",1,Hembra
"28,6",0,Hembra
"3,3",0,Hembra
