weeks_at_euthanasia,reached_terminal,sex
11.0,Yes,Male
13.3,Yes,Male
22.1,Yes,Male
13.3,Yes,Male
8.7,Yes,Male
37.0,Yes,Male
37.0,No,Male
37.0,No,Male
37.0,Yes,Male
7.4,Yes,Male
9.4,Yes,Male
8.4,Yes,Male
7.4,Yes,Male
8.4,Yes,Male
15.7,No,Male
15.7,No,Male
55.6,No,Male
55.6,Yes,Male
31.6,Yes,Male
8.0,No,Male
6.9,No,Male
6.9,Yes,Male
32.0,Yes,Male
32.0,No,Male
17.7,No,Male
7.1,No,Male
7.1,No,Male
7.1,No,Male
5.3,No,Male
5.1,No,Male
5.1,No,Male
11.3,Yes,Male
42.9,Yes,Male
11.1,Yes,Male
13.0,Yes,Male
13.4,Yes,Male
22.4,Yes,Male
4.0,No,Male
4.7,No,Male
5.7,Yes,Male
4.6,Yes,Male
5.0,No,Male
5.9,Yes,Male
5.9,No,Male
4.7,No,Male
4.9,No,Male
36.6,No,Male
36.6,No,Male
28.6,No,Male
3.1,No,Male
3.9,No,Male
33.9,No,Male
7.9,No,Male
10.7,No,Male
6.4,Yes,Male
4.4,No,Male
5.7,Yes,Male
5.0,No,Male
17.3,No,Male
38.9,No,Male
32.3,No,Male
20.7,No,Male
28.7,No,Male
31.0,No,Male
37.9,No,Male
36.9,No,Male
36.9,No,Male
16.9,No,Male
27.7,No,Male
5.0,No,Male
5.0,No,Male
28.3,No,Male
6.3,No,Male
26.7,No,Male
30.9,No,Male
21.9,No,Male
28.9,No,Male
10.6,No,Male
10.4,No,Male
9.3,No,Male
6.9,No,Male
5.7,Yes,Male
1.6,No,Male
36.9,No,Male
16.0,No,Male
9.1,No,Male
9.4,No,Male
9.1,No,Male
13.3,No,Male
8.3,No,Male
9.0,No,Male
7.9,No,Male
7.9,No,Male
8.3,No,Male
3.3,No,Male
14.1,No,Male
16.0,No,Male
5.9,No,Male
2.9,No,Male
5.9,No,Male
4.9,No,Male
13.9,No,Male
6.9,No,Male
6.9,Yes,Male
6.9,Yes,Male
8.9,No,Male
9.0,No,Male
9.1,No,Male
7.6,Yes,Male
44.6,Yes,Female
45.6,Yes,Female
71.1,Yes,Female
71.1,Yes,Female
11.6,Yes,Female
32.4,Yes,Female
27.6,Yes,Female
13.0,Yes,Female
4.9,No,Female
40.3,Yes,Female
40.4,Yes,Female
16.9,No,Female
17.3,Yes,Female
28.6,No,Female
3.3,No,Female
